id;UNIDAD;MUNICIPIO;Match_addr;ARC_Street;CODIGO;PERIODO;DIRECCION;Delito;x;y
28653;MEBOG;Bogota;KR 2D-51A S 2, BOGOTA;KR 2 D DG 51 A SUR;110316978;2012;KR 2 D DG 51 A SUR;h_personas;-74,10503382;4,542953486
28654;MEBOG;Bogota;CL 70-18 S 2, BOGOTA;CL 70 SUR KR 18;110316979;2012;CL 70 SUR KR 18;h_personas;-74,13784646;4,547490944
28655;MEBOG;Bogota;CL 94-3B S 2, BOGOTA;CL 94 SUR KR 3 B;110316981;2012;CL 94 SUR KR 3 B;h_personas;-74,11771475;4,499634284
28656;MEBOG;Bogota;KR 16-56 S 2, BOGOTA;KR 16 CL 56 SUR;110316982;2012;KR 16 CL 56 SUR;h_personas;-74,12375498;4,562540056
28657;MEBOG;Bogota;KR 50B-66 17, BOGOTA;KR 50 B CL 66 17;110316983;2012;KR 50 B CL 66 17;h_personas;-74,07262102;4,663318987
28658;MEBOG;Bogota;KR 78-49 S 2, BOGOTA;KR 78 CL 49 SUR;110316985;2012;KR 78 CL 49 SUR;h_personas;-74,1605735;4,61110921
28659;MEBOG;Bogota;KR 87D-52 S 87, BOGOTA;KR 87 D CL 52 87 SUR;110316986;2012;KR 87 D CL 52 87 SUR;h_personas;-74,1757847;4,627797653
28660;MEBOG;Bogota;KR 4-60A 60, BOGOTA;KR 4 CL 60 A 60;110316988;2012;KR 4 CL 60 A 60;h_personas;-74,05271002;4,645294437
28661;MEBOG;Bogota;KR 11-82 1, BOGOTA;KR 11 CL 82 1;110316990;2012;KR 11 CL 82 1;h_personas;-74,04734719;4,666358517
28662;MEBOG;Bogota;CL 19-33 2, BOGOTA;CL 19 KR 33;110316992;2012;CL 19 KR 33;h_personas;-74,08454584;4,621712085
28663;MEBOG;Bogota;CL 87-19C 45, BOGOTA;CL 87 KR 19 C 44;110316994;2012;CL 87 KR 19 C 44;h_personas;-74,05264483;4,674923801
28664;MEBOG;Bogota;CL 70-81 53, BOGOTA;CL 70 KR 81 53;110316996;2012;CL 70 KR 81 53;h_personas;-74,09926731;4,690913095
28665;MEBOG;Bogota;CL 95-16 2, BOGOTA;CL 95 AC 16;110316997;2012;CL 95 AC 16;h_personas;-74,04491459;4,681851233
28666;MEBOG;Bogota;KR 18-19 S 2, BOGOTA;KR 18 CL 19 SUR;110316999;2012;KR 18 CL 19 SUR;h_personas;-74,09635243;4,584521385
28667;MEBOG;Bogota;TV 100A-80A 20, BOGOTA;TR 100 A CL 80 A 20;110317000;2012;TR 100 A CL 80 A 20;h_personas;-74,10589442;4,712003211
28668;MEBOG;Bogota;TV 48BIS-69A S 20, BOGOTA;TR 48 BIS CL 69 A 20 SUR;110317001;2012;TR 48 BIS CL 69 A 20 SUR;h_personas;-74,15353471;4,575474717
28669;MEBOG;Bogota;CL 75D-74G S 9, BOGOTA;CL 75 D SUR KR 74 G 9;110317002;2012;CL 75 D SUR KR 74 G 9;h_personas;-74,16835913;4,576400924
28670;MEBOG;Bogota;CL 26-62 47, BOGOTA;CL 26 KR 62 47;110317005;2012;CL 26 KR 62 47;h_personas;-74,09480199;4,648655655
28671;MEBOG;Bogota;CL 126-7A 2, BOGOTA;CL 126 KR 7 A;110317006;2012;CL 126 KR 7 A;h_personas;-74,02371664;4,701458593
28672;MEBOG;Bogota;KR 91-139 6, BOGOTA;KR 91 CL 139 6;110317008;2012;KR 91 CL 139 6;h_personas;-74,0791444;4,738505773
28673;MEBOG;Bogota;CL 116-19 2, BOGOTA;CL 116 KR 19;110317010;2012;CL 116 KR 19;h_personas;-74,04055007;4,698115289
28674;MEBOG;Bogota;CL 74-60 60, BOGOTA;CL 74 KR 60 60;110317013;2012;CL 74 KR 60 60;h_personas;-74,0807775;4,682094154
28675;MEBOG;Bogota;CL 24-13 2, BOGOTA;AC 24 KR 13;110317014;2012;AC 24 KR 13;h_personas;-74,0669896;4,611808777
28676;MEBOG;Bogota;KR 80-63 S 2, BOGOTA;KR 80 CL 63 SUR;110317018;2012;KR 80 CL 63 SUR;h_personas;-74,17854949;4,601606401
28677;MEBOG;Bogota;CL 21-15 2, BOGOTA;AC 21 AK 15;110317021;2012;AC 21 AK 15;h_personas;-74,07055685;4,611100059
28678;MEBOG;Bogota;KR 40-28A S 2, BOGOTA;KR 40 CL 28 A SUR;110317022;2012;KR 40 CL 28 A SUR;h_personas;-74,11413827;4,600568897
28679;MEBOG;Bogota;KR 66-97 82, BOGOTA;KR 66 CL 97 82;110317023;2012;KR 66 CL 97 82;h_personas;-74,06517061;4,689162842
28680;MEBOG;Bogota;CL 31-16 S 2, BOGOTA;CL 31 SUR KR 16;110317025;2012;CL 31 SUR KR 16;h_personas;-74,10513517;4,57839363
28681;MEBOG;Bogota;CL 42-86G S 2, BOGOTA;CL 42 SUR KR 86 G;110317027;2012;CL 42 SUR KR 86 G;h_personas;-74,16270972;4,633497734
28682;MEBOG;Bogota;CL 174-6 2, BOGOTA;CL 174 AU 6;110317028;2012;CL 174 AU 6;h_personas;-74,01793861;4,753619463
28683;MEBOG;Bogota;CL 76-17C S 64, BOGOTA;CL 76 SUR KR 17 C 64;110317029;2012;CL 76 SUR KR 17 C 64;h_personas;-74,1334699;4,54178219
28684;MEBOG;Bogota;KR 15-80 10, BOGOTA;KR 15 CL 80 10;110317030;2012;KR 15 CL 80 10;h_personas;-74,05129527;4,666958226
28685;MEBOG;Bogota;KR 90-140 2, BOGOTA;KR 90 CL 140;110317031;2012;KR 90 CL 140;h_personas;-74,07820289;4,739236308
28686;MEBOG;Bogota;CL 27-16 S 2, BOGOTA;CL 27 SUR SUR KR 16;110317032;2012;CL 27 SUR SUR KR 16;h_personas;-74,10156337;4,580280362
28687;MEBOG;Bogota;KR 13-49 2, BOGOTA;KR 13 CL 49;110317033;2012;KR 13 CL 49;h_personas;-74,0599363;4,636694657
28688;MEBOG;Bogota;KR 13-35 2, BOGOTA;KR 13 CL 35;110317034;2012;KR 13 CL 35;h_personas;-74,06222307;4,623343868
28689;MEBOG;Bogota;KR 47-137 2, BOGOTA;KR 47 CL 137;110317035;2012;KR 47 CL 137;h_personas;-74,04795274;4,723421254
28690;MEBOG;Bogota;KR 3-2 65, BOGOTA;AK 3 CL 2 65;110317036;2012;AK 3 CL 2 65;h_personas;-74,07116857;4,587524506
28691;MEBOG;Bogota;KR 3-55 2, BOGOTA;AK 3 CL 55;110317038;2012;AK 3 CL 55;h_personas;-74,0535471;4,640346093
28692;MEBOG;Bogota;KR 69-68 2, BOGOTA;KR 69 CL 68;110317039;2012;KR 69 CL 68;h_personas;-74,0909782;4,681540662
28693;MEBOG;Bogota;KR 7-60 2, BOGOTA;KR 7 CL 60;110317041;2012;KR 7 CL 60;h_personas;-74,05553712;4,645542461
28694;MEBOG;Bogota;CL 160-58 75, BOGOTA;CL 160 KR 58 75;110317042;2012;CL 160 KR 58 75;h_personas;-74,05831122;4,744375415
